,price,Address,area,Bedrooms,Bathrooms
436,48000000.0,Bandra,850.0,2.0,2.0
438,65000000.0,Bandra,1459.0,4.0,5.0
439,32500000.0,Bandra,1200.0,2.0,2.0
441,42500000.0,Bandra,775.0,2.0,2.0
443,29900000.000000004,Bandra,780.0,2.0,2.0
444,32000000.0,Bandra,1050.0,2.0,2.0
445,49900000.0,Bandra,1040.0,2.0,2.0
446,39600000.0,Bandra,880.0,2.0,3.0
447,22500000.0,Bandra,520.0,2.0,2.0
449,35000000.0,Bandra,938.0,2.0,2.0
453,45000000.0,Bandra,950.0,3.0,2.0
454,140000000.0,Bandra,3000.0,4.0,4.0
455,50000000.0,Bandra,1200.0,3.0,3.0
456,55000000.0,Bandra,1000.0,2.0,2.0
458,160000000.0,Bandra,3000.0,4.0,4.0
459,27500000.0,Bandra,750.0,2.0,2.0
460,66000000.0,Bandra,1425.0,3.0,3.0
462,25000000.0,Bandra,800.0,2.0,2.0
463,50000000.0,Bandra,1100.0,3.0,3.0
464,42000000.0,Bandra,1016.0,2.0,2.0
466,40000000.0,Bandra,780.0,2.0,2.0
467,30000000.0,Bandra,705.0,2.0,2.0
469,210000000.0,Bandra,4200.0,5.0,5.0
470,51000000.0,Bandra,1200.0,3.0,3.0
471,52500000.0,Bandra,1100.0,2.0,2.0
472,360000000.0,Bandra,6100.0,4.0,8.0
473,55000000.0,Bandra,1000.0,3.0,3.0
474,35000000.0,Bandra,780.0,3.0,2.0
475,40000000.0,Bandra,950.0,3.0,2.0
476,75000000.0,Bandra,1500.0,2.0,2.0
477,33000000.0,Bandra,750.0,2.0,2.0
479,30000000.0,Bandra,1000.0,2.0,2.0
481,350000000.0,Bandra,8000.0,5.0,6.0
482,13000000.0,Bhandup,630.0,2.0,2.0
483,25400000.0,Bhandup,1507.0,3.0,3.0
484,15900000.0,Bhandup,1104.0,2.0,2.0
485,12000000.0,Bhandup,810.0,2.0,2.0
487,15000000.0,Bhandup,960.0,2.0,2.0
488,14500000.0,Bhandup,925.0,2.0,2.0
489,13500000.0,Bhandup,790.0,2.0,2.0
490,12600000.0,Bhandup,1058.0,2.0,2.0
491,19000000.0,Bhandup,1233.0,2.0,2.0
492,17000000.0,Bhandup,1030.0,2.0,2.0
493,13000000.0,Bhandup,900.0,2.0,2.0
494,14200000.0,Bhandup,960.0,2.0,2.0
495,18500000.0,Bhandup,1045.0,2.0,2.0
496,15000000.0,Bhandup,852.0,2.0,2.0
497,17000000.0,Bhandup,1045.0,2.0,2.0
498,10500000.0,Bhandup,660.0,6.0,2.0
499,14000000.0,Bhandup,825.0,2.0,2.0
500,14000000.0,Bhandup,1010.0,2.0,2.0
501,16500000.0,Bhandup,850.0,2.0,2.0
502,18000000.0,Bhandup,1080.0,2.0,2.0
503,10800000.0,Bhandup,875.0,2.0,2.0
504,16500000.0,Bhandup,960.0,2.0,2.0
505,13500000.0,Bhandup,935.0,2.0,2.0
506,12500000.0,Bhandup,975.0,2.0,2.0
508,12500000.0,Bhandup,900.0,2.0,2.0
509,12500000.0,Bhandup,885.0,2.0,2.0
510,13000000.0,Bhandup,850.0,2.0,2.0
511,25000000.0,Bhandup,1500.0,3.0,3.0
512,23000000.0,Bhandup,1139.0,3.0,3.0
513,12500000.0,Bhandup,975.0,2.0,2.0
515,12000000.0,Bhandup,720.0,2.0,2.0
516,15500000.0,Bhandup,1000.0,2.0,2.0
517,16000000.0,Bhandup,865.0,2.0,2.0
518,13000000.0,Bhandup,1015.0,2.0,2.0
519,21000000.0,Bhandup,1250.0,2.0,2.0
521,13500000.0,Bhandup,950.0,2.0,2.0
522,13500000.0,Bhandup,902.0,2.0,2.0
523,12000000.0,Bhandup,900.0,2.0,2.0
524,13000000.0,Bhandup,630.0,2.0,2.0
525,18000000.0,Bhandup,1020.0,2.0,2.0
526,17000000.0,Bhandup,940.0,2.0,2.0
527,15500000.0,Bhandup,940.0,2.0,2.0
529,28000000.0,Bhandup,1486.0,2.0,2.0
530,15800000.0,Bhandup,940.0,2.0,2.0
531,15500000.0,Bhandup,1091.0,2.0,2.0
